# Adapted from E15190-Unified-Analysis-Framework/calibrations/NWB_Saturation_Correction.txt
# Entries are identical
# Only format is modified to accommodate pandas.read_csv()
# //p0/errorofp0/p1/errorofp1/p2/errorofp2/ from pol2 fitting in "log(R/L) versus Xcm" plot
bar            p0     p0_err        p1      p1_err          p2       p2_err
 01   -0.00409629 0.00508594 0.0221318 6.03941e-05 7.02927e-06 1.23838e-06
 02   -0.148132 0.00495532 0.0196509 5.8163e-05 1.41775e-05 1.1649e-06
 03   0.0512004 0.00613763 0.0243919 7.08826e-05 4.65323e-06 1.46926e-06
 04   0.0334602 0.00479219 0.0195307 5.56989e-05 1.00974e-05 1.13111e-06
 05   -0.0568769 0.00490953 0.0186339 5.66972e-05 6.09003e-06 1.1546e-06
 06   -0.139601 0.00492273 0.0197646 5.51338e-05 5.36054e-06 1.11289e-06
 07   0.0271512 0.00496677 0.0210322 5.82344e-05 1.59783e-06 1.20342e-06
 08   0.014633 0.00519691 0.0226753 5.99268e-05 2.16559e-06 1.20194e-06
 09   -0.0932393 0.00571935 0.0236326 6.07275e-05 -3.82549e-06 1.25023e-06
 10   0.152138 0.00463809 0.0183923 5.38562e-05 -2.49637e-06 1.0955e-06
 11   0.00431145 0.00534373 0.0229134 6.20887e-05 -4.74656e-06 1.26047e-06
 12   -0.0655648 0.00488628 0.0195163 5.75108e-05 2.72348e-06 1.16453e-06
 13   0.0555982 0.00475429 0.0185137 5.47523e-05 8.45536e-07 1.09333e-06
 14   -0.0659283 0.00539754 0.0238763 6.46039e-05 -7.48111e-06 1.30847e-06
 15   -0.072786 0.00574079 0.0238087 6.50512e-05 1.80851e-06 1.38249e-06
 16   0.0422089 0.00464 0.0198408 5.46212e-05 8.79997e-07 1.0999e-06
 17   -0.111389 0.00529185 0.0238603 6.24008e-05 6.56954e-06 1.25471e-06
 18   -0.0641437 0.00517706 0.0227955 5.88955e-05 -1.26673e-06 1.20702e-06
 19   0.0260347 0.00512181 0.0223108 6.34174e-05 -4.0354e-06 1.28836e-06
 20   0.0701785 0.00520681 0.0229059 6.65975e-05 -6.4435e-07 1.32058e-06
 21   0.0560851 0.0050056 0.0216926 6.06511e-05 3.59143e-06 1.23595e-06
 22   0.0776832 0.00491051 0.0207814 5.52481e-05 -9.08053e-07 1.15055e-06
 23   0.0253482 0.00459515 0.0195612 5.82243e-05 -1.92009e-06 1.16257e-06
 24   0.0165143 0.00522441 0.0202505 5.88998e-05 3.30174e-07 1.21018e-06
